,title,item_opened_by,current_status,labels,created_by,location,contrib_type,repo,type
824,Fix coi,2021-05-21 21:32:56,closed,,lwasser,United States,staff,software-peer-review,pulls
825,fix coi link,2021-05-21 17:38:42,closed,,lwasser,United States,staff,software-peer-review,pulls
826,Fix urls in various places throughout the contributing guide,2021-02-08 16:21:15,closed,,gawbul,Earth,staff,software-peer-review,pulls
827,Update templates.md,2020-10-09 00:55:27,closed,,choldgraf,California,staff,software-peer-review,pulls
828,minor document updates and adding repository buttons,2020-06-06 00:12:22,closed,,choldgraf,California,staff,software-peer-review,pulls
829,updates to the editor template,2020-06-04 15:46:29,closed,,lwasser,United States,staff,software-peer-review,pulls
830,Add suggestion about python versions support,2020-05-25 21:35:18,closed,,xmnlab,Earth,staff,software-peer-review,pulls
831,Fix a collaboration label and Improve a collaboration note,2020-05-22 22:33:20,closed,,xmnlab,Earth,staff,software-peer-review,pulls
832,Clean up jenny's editor PR,2020-05-22 21:36:52,closed,,lwasser,United States,staff,software-peer-review,pulls
833,test at fixing url's so we use dashes everywhere!!,2020-05-22 01:30:47,closed,,lwasser,United States,staff,software-peer-review,pulls
834,authoring/tools-for-developers: Fix link inside a note ,2020-05-22 01:10:17,closed,,xmnlab,Earth,staff,software-peer-review,pulls
835,Add Get Started Checklist to Editor Page,2020-05-21 19:28:24,closed,,jlpalomino,,staff,software-peer-review,pulls
836,small updates POS reviews rather than RO,2020-05-21 18:07:34,closed,,lwasser,United States,staff,software-peer-review,pulls
837,Add doc about git pre commit hook,2020-05-09 22:46:17,closed,,xmnlab,Earth,staff,software-peer-review,pulls
838,Docs update,2020-05-06 00:15:00,closed,,choldgraf,California,staff,software-peer-review,pulls
839,reorganizing our content,2020-04-30 21:35:06,closed,,choldgraf,California,staff,software-peer-review,pulls
840,adding an edit url and GA,2020-04-30 20:50:50,closed,,choldgraf,California,staff,software-peer-review,pulls
841,Update to new version of Jupyter Book,2020-04-30 19:07:06,closed,,choldgraf,California,staff,software-peer-review,pulls
842,Update pyOpenSci badge details in template.md,2020-02-07 16:34:13,closed,,jlpalomino,,staff,software-peer-review,pulls
843,remove locked tmp gemfile,2019-09-30 23:00:31,closed,,lwasser,United States,staff,software-peer-review,pulls
844,upgrading the book,2019-09-30 20:10:58,closed,,choldgraf,California,staff,software-peer-review,pulls
845,updating circle config,2019-09-04 00:48:36,closed,,choldgraf,California,staff,software-peer-review,pulls
846,Remove reference to DESCRIPTION,2019-09-03 18:44:55,closed,,mbjoseph,"Denver, CO",staff,software-peer-review,pulls
847,A few edits to the reviewer template,2019-06-20 21:06:06,closed,,lwasser,United States,staff,software-peer-review,pulls
848,Add specific readme requirements to review template,2019-06-04 22:37:40,closed,,lwasser,United States,staff,software-peer-review,pulls
849,Merge pull request #26 from pyOpenSci/editor-review,2019-06-04 22:33:24,closed,,lwasser,United States,staff,software-peer-review,pulls
850,Update Editor Template -- joss comes after tech requirements,2019-06-03 15:14:44,closed,,lwasser,United States,staff,software-peer-review,pulls
851,Updating from master,2019-06-03 15:12:40,closed,,lwasser,United States,staff,software-peer-review,pulls
852,minor typo,2019-06-02 20:16:27,closed,,cosmicBboy,"Atlanta, GA, US",staff,software-peer-review,pulls
853,Add clear requirement for installation instructions in README,2019-05-18 22:47:22,closed,,kysolvik,,staff,software-peer-review,pulls
854,removing build folder to force updates,2019-05-14 15:57:31,closed,,choldgraf,California,staff,software-peer-review,pulls
855,adding all files in the build,2019-05-02 22:44:07,closed,,choldgraf,California,staff,software-peer-review,pulls
856,don't run test,2019-05-02 22:27:45,closed,,choldgraf,California,staff,software-peer-review,pulls
857,updating jupyter book,2019-05-02 22:15:00,closed,,choldgraf,California,staff,software-peer-review,pulls
858,Updating a link that's relative that should be abs,2019-04-30 16:37:42,closed,,choldgraf,California,staff,software-peer-review,pulls
859,Editor Review content edits,2019-04-09 16:14:30,closed,,lwasser,United States,staff,software-peer-review,pulls
860,Updates to maintenance guide plus link fixes,2019-02-25 22:02:25,closed,,kysolvik,,staff,software-peer-review,pulls
861,Fixed links and added a couple more,2019-02-20 21:58:13,closed,,kysolvik,,staff,software-peer-review,pulls
862,Updated links and removed some ropensci stuff,2019-02-20 21:33:19,closed,,kysolvik,,staff,software-peer-review,pulls
863,Added good/better/best recommendations to packaging guide,2019-02-20 15:10:32,closed,,kysolvik,,staff,software-peer-review,pulls
864,Updates to scope and highlighting COC,2019-02-01 21:30:26,closed,,kysolvik,,staff,software-peer-review,pulls
865,Merged search functionality from jupyter/jupyter-book,2019-01-30 21:30:50,closed,,kysolvik,,staff,software-peer-review,pulls
866,Enabled search and added a preface/intro,2019-01-30 17:29:53,closed,,kysolvik,,staff,software-peer-review,pulls
867,Added a disclaimer to the intro page,2019-01-25 23:19:49,closed,,kysolvik,,staff,software-peer-review,pulls
868,Added Initial content,2019-01-25 23:08:49,closed,,kysolvik,,staff,software-peer-review,pulls
869,Adding jupyter book,2019-01-15 16:54:50,closed,,choldgraf,California,staff,software-peer-review,pulls
979,Enh: add hatch_vcs for versioning,2023-12-20 19:20:43,closed,enhancement,lwasser,United States,staff,pyosMeta,issues
980,Fix: minor text updates following carols enhancements,2023-12-20 18:20:45,closed,,lwasser,United States,staff,pyosMeta,issues
981,Rename this repo to - pyosmeta,2023-12-20 17:50:50,closed,,lwasser,United States,staff,pyosMeta,issues
982,Migrate to VCS-based versioning using hatchling,2023-12-20 17:47:58,closed,,lwasser,United States,staff,pyosMeta,issues
983,Review settings for Codacy linting service,2023-12-17 01:02:44,closed,maintenance,willingc,San Diego,staff,pyosMeta,issues
984,Implement Phase 1 maintenance on the repo's root directory,2023-12-16 19:28:25,closed,maintenance,willingc,San Diego,staff,pyosMeta,issues
985,Update repo for maintainability,2023-12-16 19:20:30,closed,"maintenance, refactor",willingc,San Diego,staff,pyosMeta,issues
986,Make sure code recognizes a third reviewer if they exist. ,2023-12-14 23:31:28,closed,enhancement,lwasser,United States,staff,pyosMeta,issues
987,Fix: pyproj toml deps and small package update,2023-12-14 23:19:32,closed,,lwasser,United States,staff,pyosMeta,issues
988,rueml_yaml package - deprecated ,2023-12-14 22:48:57,closed,,lwasser,United States,staff,pyosMeta,issues
989,BUG: when a user adds a link to their github repo,2023-11-02 14:53:04,open,bug,lwasser,United States,staff,pyosMeta,issues
990,Fix: clean up markdown from package name,2023-10-22 19:12:57,closed,,lwasser,United States,staff,pyosMeta,issues
991,Update parse usernames process,2023-10-20 07:41:24,closed,,SimonMolinsky,European Union,staff,pyosMeta,issues
992,Error parsing user metadata,2023-10-15 09:33:46,closed,bug,SimonMolinsky,European Union,staff,pyosMeta,issues
993,Fix: remove date parses running automatically,2023-09-12 00:13:33,closed,,lwasser,United States,staff,pyosMeta,issues
994,i broke things again,2023-09-11 23:02:02,closed,,lwasser,United States,staff,pyosMeta,issues
995,Fix: categories should be lower case with a dash,2023-09-11 21:41:16,closed,,lwasser,United States,staff,pyosMeta,issues
996,Bug in retrieving categories - ,2023-09-11 18:44:55,closed,"bug, enhancement",lwasser,United States,staff,pyosMeta,issues
997,Remove duplication of fork count,2023-08-24 00:35:28,closed,,lwasser,United States,staff,pyosMeta,issues
998,Fix: bug in repo link field w markdown url,2023-08-24 00:33:31,closed,bug,lwasser,United States,staff,pyosMeta,issues
999,BUG: markdown url in repo link,2023-08-23 23:06:40,closed,,lwasser,United States,staff,pyosMeta,issues
1000,Feat: get user added date from commit history,2023-08-21 00:30:05,closed,,lwasser,United States,staff,pyosMeta,issues
1001,Enh: Order packages by oldest to newest??,2023-08-20 18:54:19,open,enhancement,lwasser,United States,staff,pyosMeta,issues
1002,Update pyproject.toml,2023-08-17 15:53:49,closed,,lwasser,United States,staff,pyosMeta,issues
1003,Refactor: move to pydantic for validation,2023-08-14 01:05:24,closed,,lwasser,United States,staff,pyosMeta,issues
1004,Bug: dates,2023-07-28 23:08:02,closed,,lwasser,United States,staff,pyosMeta,issues
1005,Minor fix - date_accepted order of values is flipped  (month should be first),2023-07-28 22:43:11,closed,,lwasser,United States,staff,pyosMeta,issues
1006,Fix date format to make jekyll happy,2023-07-28 21:10:25,closed,,lwasser,United States,staff,pyosMeta,issues
1007,Another bug - date format should be year-month-day,2023-07-28 17:56:15,closed,,lwasser,United States,staff,pyosMeta,issues
1008,bug in package meta output - fork values appear twice!,2023-07-27 19:06:54,closed,"bug, help wanted, sprintable",lwasser,United States,staff,pyosMeta,issues
1009,Fix http / https links for documentation,2023-07-27 17:16:30,closed,bug,lwasser,United States,staff,pyosMeta,issues
1010,Cleanup: Add update arg & update docs,2023-07-27 16:23:27,closed,,lwasser,United States,staff,pyosMeta,issues
1011,Fix date_Accepted and keep running if it's missing,2023-07-27 00:48:54,closed,,lwasser,United States,staff,pyosMeta,issues
1012,Path cleanup and only export yml in final step,2023-07-27 00:43:56,closed,,lwasser,United States,staff,pyosMeta,issues
1013,Path cleanup and only export yml in final step,2023-07-26 23:35:47,closed,,lwasser,United States,staff,pyosMeta,issues
1014,a few small fixes,2023-07-26 21:45:46,closed,,lwasser,United States,staff,pyosMeta,issues
1015,Update workflow names,2023-07-26 21:01:54,closed,,lwasser,United States,staff,pyosMeta,issues
1016,Code refactor & numerous bug fixes ,2023-07-20 03:11:19,closed,,lwasser,United States,staff,pyosMeta,issues
1017,move scripts into src/pyosmeta/cli folder,2023-07-16 02:42:47,closed,,msarahan,"Austin, TX",staff,pyosMeta,issues
1018,reusable workflow for calling scripts,2023-07-15 16:34:30,closed,,msarahan,"Austin, TX",staff,pyosMeta,issues
1019,feat: workflow in parse_issues so that it captures and ads the peer review link to the yaml file,2023-07-15 02:12:04,closed,"enhancement, help wanted, sprintable",lwasser,United States,staff,pyosMeta,issues
1020,Numerous bug fixes and update reviewers script,2023-07-05 16:48:39,closed,,lwasser,United States,staff,pyosMeta,issues
1021,"Fix: readme duplication, remove print statements",2023-07-03 22:22:22,closed,,lwasser,United States,staff,pyosMeta,issues
1022,✨ Bug: contributor type - peer review is being added incorrectly,2023-07-03 20:25:31,closed,"bug, help wanted, sprintable, python-code",lwasser,United States,staff,pyosMeta,issues
1023,Fix: update pyproject with requests,2023-05-27 00:17:34,closed,,lwasser,United States,staff,pyosMeta,issues
1024,Fix: small bugs in assigning contrib type,2023-05-26 21:26:09,closed,,lwasser,United States,staff,pyosMeta,issues
1025,new config,2023-05-24 23:45:25,closed,,crazy4pi314,"Seattle, WA",staff,pyosMeta,issues
1026,Docs link missing in the website for some packages,2023-05-13 20:46:04,closed,,juanis2112,"Santa Cruz, California",staff,pyosMeta,issues
1027,Update: readme notes & feat - don't update name if exists on website,2023-05-08 21:26:10,closed,,lwasser,United States,staff,pyosMeta,issues
1028,Add: Start at more defined typing ✨ ,2023-05-04 18:56:45,closed,,lwasser,United States,staff,pyosMeta,issues
1029,This extends PR from issue: #21,2023-04-30 21:13:21,closed,,paajake,Ghana,staff,pyosMeta,issues
1030,Move Token Import From a Pickle File Import to a Simple Text File,2023-04-24 17:15:26,closed,,bbulpett,Gotham,staff,pyosMeta,issues
1031,✨ Move token import from a pickle file import to a simple text file,2023-04-24 15:36:10,closed,issue-assigned-in-progress,lwasser,United States,staff,pyosMeta,issues
1032,✨ Website / python pyos meta data bug in listing package maintainers,2023-04-24 15:04:05,closed,,lwasser,United States,staff,pyosMeta,issues
1033,Update ProcessIssue.get_categories(),2023-04-23 02:11:22,closed,,austinlg96,,staff,pyosMeta,issues
1034,Add: parse all maintainers from issues to package.yml,2023-04-23 00:20:25,closed,,tiffanyxiao,"New York, New York",staff,pyosMeta,issues
1035,Extending list of json files that are being parsed to include the update-web-metadata repo,2023-04-22 21:58:21,closed,,meerkatters,"Seattle, WA",staff,pyosMeta,issues
1036,Fixed authentication to GitHub API.,2023-04-22 19:59:34,closed,,austinlg96,,staff,pyosMeta,issues
1037,Fix: code cleanup and more bug fixes,2023-04-22 19:02:44,closed,,lwasser,United States,staff,pyosMeta,issues
1038,"✨ FEATURE: when a two word (or more) name already exists in a name, do not update the name field from github",2023-04-22 15:42:48,closed,"help wanted, sprintable",lwasser,United States,staff,pyosMeta,issues
1039,"✨ FIX: Add contributor ""type"" to contributors.yaml file in the workflow",2023-04-19 18:27:06,closed,"help wanted, priority, sprintable",lwasser,United States,staff,pyosMeta,issues
1040,✨ Create CI workflow that updates contributor and package metadata from this repo [CI infrastructure],2023-04-19 17:01:41,closed,"help wanted, priority, sprintable",lwasser,United States,staff,pyosMeta,issues
1041,✨ Update package categories format in pyosmet update workflow to produce a better packages.yml file [Python programming],2023-04-19 16:40:05,closed,"help wanted, priority, sprintable",lwasser,United States,staff,pyosMeta,issues
1042,✨ Add all maintainers to package.yml output using this workflow [python programming],2023-04-19 16:36:26,closed,"help wanted, priority, sprintable",lwasser,United States,staff,pyosMeta,issues
1043,Update: redo of issues API,2023-03-07 19:58:41,closed,,lwasser,United States,staff,pyosMeta,issues
1044,Add: parse contributors script to update contribs,2023-03-01 00:06:07,closed,,lwasser,United States,staff,pyosMeta,issues
1045,✨ Add github action that moves peer review issues  issues as the label on the review is updated across our peer review project board. ,2023-01-31 00:51:19,closed,"help wanted, priority, sprintable",lwasser,United States,staff,pyosMeta,issues
1111,Enh: add hatch_vcs for versioning,2023-12-20 19:20:43,closed,enhancement,lwasser,United States,staff,pyosMeta,pulls
1112,Fix: minor text updates following carols enhancements,2023-12-20 18:20:45,closed,,lwasser,United States,staff,pyosMeta,pulls
1113,Implement Phase 1 maintenance on the repo's root directory,2023-12-16 19:28:25,closed,maintenance,willingc,San Diego,staff,pyosMeta,pulls
1114,Fix: pyproj toml deps and small package update,2023-12-14 23:19:32,closed,,lwasser,United States,staff,pyosMeta,pulls
1115,Fix: clean up markdown from package name,2023-10-22 19:12:57,closed,,lwasser,United States,staff,pyosMeta,pulls
1116,Update parse usernames process,2023-10-20 07:41:24,closed,,SimonMolinsky,European Union,staff,pyosMeta,pulls
1117,Fix: remove date parses running automatically,2023-09-12 00:13:33,closed,,lwasser,United States,staff,pyosMeta,pulls
1118,Fix: categories should be lower case with a dash,2023-09-11 21:41:16,closed,,lwasser,United States,staff,pyosMeta,pulls
1119,Remove duplication of fork count,2023-08-24 00:35:28,closed,,lwasser,United States,staff,pyosMeta,pulls
1120,Fix: bug in repo link field w markdown url,2023-08-24 00:33:31,closed,bug,lwasser,United States,staff,pyosMeta,pulls
1121,Feat: get user added date from commit history,2023-08-21 00:30:05,closed,,lwasser,United States,staff,pyosMeta,pulls
1122,Update pyproject.toml,2023-08-17 15:53:49,closed,,lwasser,United States,staff,pyosMeta,pulls
1123,Refactor: move to pydantic for validation,2023-08-14 01:05:24,closed,,lwasser,United States,staff,pyosMeta,pulls
1124,Minor fix - date_accepted order of values is flipped  (month should be first),2023-07-28 22:43:11,closed,,lwasser,United States,staff,pyosMeta,pulls
1125,Fix date format to make jekyll happy,2023-07-28 21:10:25,closed,,lwasser,United States,staff,pyosMeta,pulls
1126,Cleanup: Add update arg & update docs,2023-07-27 16:23:27,closed,,lwasser,United States,staff,pyosMeta,pulls
1127,Fix date_Accepted and keep running if it's missing,2023-07-27 00:48:54,closed,,lwasser,United States,staff,pyosMeta,pulls
1128,Path cleanup and only export yml in final step,2023-07-27 00:43:56,closed,,lwasser,United States,staff,pyosMeta,pulls
1129,Path cleanup and only export yml in final step,2023-07-26 23:35:47,closed,,lwasser,United States,staff,pyosMeta,pulls
1130,Update workflow names,2023-07-26 21:01:54,closed,,lwasser,United States,staff,pyosMeta,pulls
1131,Code refactor & numerous bug fixes ,2023-07-20 03:11:19,closed,,lwasser,United States,staff,pyosMeta,pulls
1132,move scripts into src/pyosmeta/cli folder,2023-07-16 02:42:47,closed,,msarahan,"Austin, TX",staff,pyosMeta,pulls
1133,reusable workflow for calling scripts,2023-07-15 16:34:30,closed,,msarahan,"Austin, TX",staff,pyosMeta,pulls
1134,Numerous bug fixes and update reviewers script,2023-07-05 16:48:39,closed,,lwasser,United States,staff,pyosMeta,pulls
1135,"Fix: readme duplication, remove print statements",2023-07-03 22:22:22,closed,,lwasser,United States,staff,pyosMeta,pulls
1136,Fix: update pyproject with requests,2023-05-27 00:17:34,closed,,lwasser,United States,staff,pyosMeta,pulls
1137,Fix: small bugs in assigning contrib type,2023-05-26 21:26:09,closed,,lwasser,United States,staff,pyosMeta,pulls
1138,new config,2023-05-24 23:45:25,closed,,crazy4pi314,"Seattle, WA",staff,pyosMeta,pulls
1139,Update: readme notes & feat - don't update name if exists on website,2023-05-08 21:26:10,closed,,lwasser,United States,staff,pyosMeta,pulls
1140,Add: Start at more defined typing ✨ ,2023-05-04 18:56:45,closed,,lwasser,United States,staff,pyosMeta,pulls
1141,This extends PR from issue: #21,2023-04-30 21:13:21,closed,,paajake,Ghana,staff,pyosMeta,pulls
1142,Move Token Import From a Pickle File Import to a Simple Text File,2023-04-24 17:15:26,closed,,bbulpett,Gotham,staff,pyosMeta,pulls
1143,Update ProcessIssue.get_categories(),2023-04-23 02:11:22,closed,,austinlg96,,staff,pyosMeta,pulls
1144,Add: parse all maintainers from issues to package.yml,2023-04-23 00:20:25,closed,,tiffanyxiao,"New York, New York",staff,pyosMeta,pulls
1145,Extending list of json files that are being parsed to include the update-web-metadata repo,2023-04-22 21:58:21,closed,,meerkatters,"Seattle, WA",staff,pyosMeta,pulls
1146,Fixed authentication to GitHub API.,2023-04-22 19:59:34,closed,,austinlg96,,staff,pyosMeta,pulls
1147,Fix: code cleanup and more bug fixes,2023-04-22 19:02:44,closed,,lwasser,United States,staff,pyosMeta,pulls
1148,Update: redo of issues API,2023-03-07 19:58:41,closed,,lwasser,United States,staff,pyosMeta,pulls
1149,Add: parse contributors script to update contribs,2023-03-01 00:06:07,closed,,lwasser,United States,staff,pyosMeta,pulls
1297,Enh: add sponsor page,2023-12-31 19:57:07,open,"DO-NOT-MERGE, feature:content",kierisi,"Chicago, IL",staff,pyopensci.github.io,issues
1298,Enh: New volunteer page,2023-12-31 19:32:00,closed,,kierisi,"Chicago, IL",staff,pyopensci.github.io,issues
1299,Fix: isotope styles cleanup + role fixes,2023-12-30 01:46:30,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1300,Add: links and fresh images to avoid redundancy,2023-12-30 00:28:23,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1301,Add: new blog post - czi funding announcement,2023-12-29 20:22:27,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1302,Fix: update contrib type so list includes editorial team,2023-12-27 20:15:33,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1303,Update contributor and review data,2023-12-27 19:49:11,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1304,Fix: add Bane as editor,2023-12-27 19:43:43,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1305,Fix: link to community partners,2023-12-21 18:08:29,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1306,Add: lauren yee as new editor,2023-12-21 18:05:14,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1307,Update contributor and review data,2023-12-15 01:22:57,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1308,Update contributor and review data,2023-12-14 23:39:31,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1309,Update contributor and review data,2023-12-14 23:32:17,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1310,Fix: my title doesn't say founder!,2023-12-14 18:27:24,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1311,Fix: partner page - align styles across pages,2023-12-04 23:25:23,closed,"high-priority, reviews-welcome",lwasser,United States,staff,pyopensci.github.io,issues
1312,FIX: Title edit for new community manager blog post,2023-11-29 22:10:08,closed,,kierisi,"Chicago, IL",staff,pyopensci.github.io,issues
1313,Fix: add jesse to blog author list,2023-11-29 22:03:48,closed,,kierisi,"Chicago, IL",staff,pyopensci.github.io,issues
1314,Remove html-proofer action and add lychee action for link checks,2023-11-22 01:16:57,closed,DO-NOT-MERGE,willingc,San Diego,staff,pyopensci.github.io,issues
1315,Add CODEOWNERS file,2023-11-22 00:50:04,closed,,willingc,San Diego,staff,pyopensci.github.io,issues
1316,Fix community page,2023-11-21 17:36:01,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1317,Jesse intro blog post,2023-11-21 16:49:56,closed,,kierisi,"Chicago, IL",staff,pyopensci.github.io,issues
1318,Update advisory council,2023-11-20 23:28:49,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1319,Fix: peer review landing page,2023-11-20 23:19:41,closed,reviews-welcome,lwasser,United States,staff,pyopensci.github.io,issues
1320,Update openomics repository_url,2023-11-06 14:11:04,closed,,andrew,"Bristol, UK",staff,pyopensci.github.io,issues
1321,Fix: update repository url for pystiche,2023-11-06 13:53:55,closed,,andrew,"Bristol, UK",staff,pyopensci.github.io,issues
1322,Fix astartes repository link,2023-11-02 11:52:36,closed,,andrew,"Bristol, UK",staff,pyopensci.github.io,issues
1323,ENH: new blog post - pyOpenSci @ RSE23 BoF,2023-10-31 17:01:31,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1324,pyOpenSci partners page - overview on website,2023-10-26 16:48:08,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1325,Fix: continue on error might work,2023-10-22 20:22:30,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1326,Fix ci,2023-10-22 19:34:54,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1327,Fix: run pre-commit in action,2023-10-22 19:22:21,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1328,Update contributor and review data,2023-10-22 19:04:10,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1329,Fix: pull job add so we don't get more apps,2023-10-03 22:03:23,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1330,Update contributor and review data,2023-09-15 01:18:08,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1331,Update contributor and review data,2023-09-12 00:21:06,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1332,Add: dates to contrib list,2023-09-12 00:07:18,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1333,Feat: add counts editors and maintainers filter,2023-09-11 22:59:39,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1334,Add: new job add for com manager,2023-09-11 15:23:03,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1335,Fix typos on front page,2023-09-10 23:27:59,closed,,eliotwrobson,"Urbana, IL",staff,pyopensci.github.io,issues
1336,Update contributor and review data,2023-08-20 18:44:33,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1337,fix: rename cli scripts for pyos meta,2023-08-20 18:41:09,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1338,Fix contribs,2023-08-14 17:38:05,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1339,Cleanup: remove old broken workflows,2023-08-11 20:49:41,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1340,Link to discourse is to hard to find,2023-08-07 18:21:27,closed,,jagerber48,,staff,pyopensci.github.io,issues
1341,Update contributor and review data,2023-07-29 00:30:36,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1342,Fix precommit yaml syntax,2023-07-28 23:50:59,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1343,Update contributor and review data,2023-07-28 23:46:43,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1344,Fix: run precommit in the update action,2023-07-28 23:43:21,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1345,Update contributor and review data,2023-07-28 23:12:17,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1346,Update contributor and review data,2023-07-28 22:45:49,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1347,Update contributor and review data,2023-07-28 22:35:41,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1348,Fix: add package review link and automate sorting,2023-07-28 21:39:43,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1349,Update packages.yml,2023-07-27 18:04:15,closed,,SultanOrazbayev,Kazakhstan,staff,pyopensci.github.io,issues
1350,Update contributor and review data,2023-07-27 16:37:03,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1351,Add new workflow dispatch to force update all data,2023-07-27 16:30:13,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1352,Update contributor and review data,2023-07-27 00:41:06,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1353,Adjust timing of cron job for contrib build,2023-07-27 00:35:28,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1354,Update contributor and review data,2023-07-26 23:37:47,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1355,Reinstate old working job,2023-07-26 21:14:30,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1356,Edit the README for first-time contributors,2023-07-24 00:56:54,closed,,willingc,San Diego,staff,pyopensci.github.io,issues
1357,Add README content to help new contributors feel welcome,2023-07-24 00:54:36,closed,enhancement,willingc,San Diego,staff,pyopensci.github.io,issues
1358,Fix workflow,2023-07-19 00:24:36,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1359,🎇  Bug in CI - running on new files in our website build always fails,2023-07-18 19:38:14,closed,"bug, help wanted, high-priority, sprintable",lwasser,United States,staff,pyopensci.github.io,issues
1360,New Blog: adventures at Scipy 2023,2023-07-18 19:18:42,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1361,CI Remove the URL check in the artifact redirector,2023-07-18 18:58:24,closed,,thomasjpfan,New York City,staff,pyopensci.github.io,issues
1362,DO NOT MERGE - testing CircleCI,2023-07-18 18:49:38,closed,,thomasjpfan,New York City,staff,pyopensci.github.io,issues
1363,update jonny saunders in contributors.yml,2023-07-17 21:34:56,closed,,sneakers-the-rat,,staff,pyopensci.github.io,issues
1364,Add md files for redirects from broken links,2023-07-16 17:17:02,closed,,rickynilsson,"Los Angeles, CA",staff,pyopensci.github.io,issues
1365,added bibat and taxpasta to recently added packages section,2023-07-16 16:10:52,closed,,klmcadams,,staff,pyopensci.github.io,issues
1366,CI Enable CircleCI redirector for PRs,2023-07-16 15:08:21,closed,,thomasjpfan,New York City,staff,pyopensci.github.io,issues
1367,Update new contributors,2023-07-16 01:00:34,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1368,Fix - new contrib missing keys,2023-07-16 00:57:52,closed,,lwasser,United States,staff,pyopensci.github.io,issues
1369,CI Ignore contributor webites in htmlproofer,2023-07-15 23:45:29,closed,,thomasjpfan,New York City,staff,pyopensci.github.io,issues
1370,CI Fixes circleci blog generation,2023-07-15 22:44:32,closed,,thomasjpfan,New York City,staff,pyopensci.github.io,issues
1371,CI Enable CircleCI to build docs to be avalible in PRs,2023-07-15 21:03:19,closed,,thomasjpfan,New York City,staff,pyopensci.github.io,issues
1372,add update workflow for packages,2023-07-15 19:10:04,closed,,msarahan,"Austin, TX",staff,pyopensci.github.io,issues
1373,add update workflow for packages,2023-07-15 15:25:43,closed,,msarahan,"Austin, TX",staff,pyopensci.github.io,issues
1374,Adjusts CSS to not hide the logo when the dropdox is visible,2023-07-15 15:17:06,closed,,thomasjpfan,New York City,staff,pyopensci.github.io,issues
1375,bug: recent packages are NOT displaying the newest packages correctly,2023-07-15 02:21:35,closed,"bug, help wanted, sprintable",lwasser,United States,staff,pyopensci.github.io,issues
1376,Update contributors.yml,2023-07-14 22:05:28,closed,,szhorvat,Iceland,staff,pyopensci.github.io,issues
1377,Add link to original review issue to package badges,2023-07-14 16:02:15,closed,enhancement,lwasser,United States,staff,pyopensci.github.io,issues
1378,Update new contributors,2023-07-12 15:07:53,closed,,github-actions[bot],,staff,pyopensci.github.io,issues
1379,Add bibat to packages.yml and Teddy Groves to contributors.yml,2023-07-07 13:25:46,closed,,teddygroves,,staff,pyopensci.github.io,issues
1380,Add taxpasta to website packages,2023-07-05 16:40:26,closed,,Midnighter,"Copenhagen, Denmark",staff,pyopensci.github.io,issues
